İlan Numarası,price,location,İlan Güncelleme Tarihi,Kategorisi,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Krediye Uygunluk,Yapı Tipi,Eşya Durumu,Banyo Sayısı,Balkon Sayısı,WC Sayısı,İlan Oluşturma Tarihi,Türü,Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu,Yatırıma Uygunluk,Site İçerisinde,Takas,Balkon Durumu,Balkon Tipi,Fiyat Durumu,Tapu Durumu,İpotek Durumu,Kira Getirisi,Yapı Durumu,Zemin Etüdü,Görüntülü Gezilebilir mi?,Aidat,Banyo Metrekare,Balkon Metrekare,WC Metrekare,Salon Metrekare,Ada,Parsel,Pafta,Balkon Tipi Fransız Balkon
14426602,"2,200,000TL",Antalya - Kepez - Yeni Emek Mahallesi,20 Aralık 2023,Satılık,100 M2,2+1,3.Kat,Klimalı,Krediye Uygun,Betonarme,Eşyalı,1,2,1,20 Aralık 2023,Konut,Daire,115 M2,11-15,3,Boş,Yatırıma Uygun,Hayır,Yok,Var,Açık Balkon,Genel Fiyat,,,,,,,,,,,,,,,
14426397,"2,200,000TL",Antalya - Kepez - Kuzeyyaka Mahallesi,20 Aralık 2023,Satılık,95 M2,2+1,2.Kat,Klimalı,Krediye Uygun,Betonarme,Boş,1,1,1,20 Aralık 2023,Konut,Daire,105 M2,11-15,3,Kiracı Oturuyor,Yatırıma Uygun,Hayır,,Var,Açık Balkon,Genel Fiyat,,,,,,,,,,,,,,,
14426356,"4,250,000TL",Antalya - Serik - Orta Mahallesi,20 Aralık 2023,Satılık,120 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,,Boş,2,2,2,20 Aralık 2023,Konut,Daire,155 M2,0 (Yeni),5,Boş,,Hayır,Var,Var,Açık Teras,Birim Fiyat,Kat Mülkiyeti,Yok,15000 TL,,,,,,,,,,,,
14418580,"8,750,000TL",Antalya - Muratpaşa - Şirinyalı Mahallesi,20 Aralık 2023,Satılık,150 M2,3+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,Betonarme,Boş,1,2,2,19 Aralık 2023,Konut,Daire,160 M2,16-20,12,Boş,Yatırıma Uygun,Evet,Yok,Var,,Genel Fiyat,Kat İrtifakı,Yok,30000 TL,İkinci El,Var,Evet,,,,,,,,,
14416439,"1,600,000TL",Antalya - Kepez - Teomanpaşa Mahallesi,18 Aralık 2023,Satılık,60 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun Değil,,Boş,1,,,18 Aralık 2023,Konut,Daire,65 M2,0 (Yeni),3,Boş,Bilinmiyor,Hayır,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14411871,"4,000,000TL",Antalya - Alanya - Avsallar Mahallesi,18 Aralık 2023,Satılık,85 M2,2+1,2.Kat,Klimalı,Krediye Uygun,,Boş,2,,,17 Aralık 2023,Konut,Daire,95 M2,11-15,6,Boş,Bilinmiyor,Evet,Yok,,,Genel Fiyat,,,,,,,,,,,,,,,
14411683,"1,850,000TL",Antalya - Manavgat - Sarılar Mahallesi,17 Aralık 2023,Satılık,55 M2,1+1,Yüksek Giriş,Klimalı,Krediye Uygun,,,1,,,17 Aralık 2023,Konut,Daire,60 M2,0 (Yeni),3,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
14411185,"5,200,000TL",Antalya - Muratpaşa - Kızılarık Mahallesi,19 Aralık 2023,Satılık,52 M2,2+1,1.Kat,Klimalı,Bilinmiyor,,,1,,,17 Aralık 2023,Konut,Daire,64 M2,0 (Yeni),6,Boş,Bilinmiyor,Hayır,Yok,Var,,Genel Fiyat,Kat İrtifakı,,20000 TL,Sıfır,,,,,,,,,,,
14419289,"5,900,000TL",Antalya - Konyaaltı - Hurma Mahallesi,19 Aralık 2023,Satılık,180 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun Değil,,Boş,2,,2,19 Aralık 2023,Konut,Daire,200 M2,5-10,4,Boş,,Hayır,Yok,,,Genel Fiyat,,,35000 TL,İkinci El,,,,,,,,,,,
14408460,"8,100,000TL",Antalya - Aksu - Altıntaş Mahallesi,19 Aralık 2023,Satılık,110 M2,2+1,2.Kat,Yerden Isıtma,Krediye Uygun,,,2,,,16 Aralık 2023,Konut,Daire,133 M2,0 (Yeni),2,Boş,,Hayır,,,,Genel Fiyat,,,,,,,,,,,,,,,
